author,author_id,author_is_uploader,author_thumbnail,id,is_favorited,like_count,parent,text,time_text,timestamp
S Sambou,UC-fXTZKxCdcL61I_31LjlTw,False,https://yt3.ggpht.com/ytc/AKedOLRcbS2opOVLZrlldncIiRsnoXlVnCTqm-eqUE6dJQ=s176-c-k-c0x00ffffff-no-rj,Ugw933251XTeK8Qt6Cp4AaABAg,False,13,root,"L'anecdote de dame mbodj a beaucoup d'enseignements sur notre relation  avec God ,en ce qui concerne notre securité.
Ganaw 《mounoofa dougal dara》 ,c'est la preuve irrefutable que kou djapni galadj meunnala arr rékk ladjiga bou yagg
Que la protection de Dieu soit sur tout le monde et qu'il nous pardonne nos manquements et nous guide vers le droit chemin.",22 hours ago,1658250000
Mareme Kech,UC-XkKsTPNEW-74wdFrCKQEg,False,https://yt3.ggpht.com/ytc/AKedOLSc47pI8tBlYV3dOVsfaP2CBjy05hAeMOrPNA=s176-c-k-c0x00ffffff-no-rj,UgwPf73xR3s7pF5kQhh4AaABAg,False,6,root,Merci  DAME ❤❤❤❤❤❤❤❤❤❤❤❤🙏🙏🙏🙏🙏🙏🙏🙏,22 hours ago,1658250000
Bineta Sané,UC86OeMqtzxYfvan_w9LEptg,False,https://yt3.ggpht.com/ytc/AKedOLR51FasDCMCz6Sxg3aMYuMzF_jqGa20lbqGHApuEdP-ljZq2NRUdXUtaHFpOrXv=s176-c-k-c0x00ffffff-no-rj,UgxwPKk-3Xd4ukMg_9B4AaABAg,False,12,root,Bilay ce procureur est une honte merci beaucoup Dame,22 hours ago (edited),1658250000
Marc Mendez,UCyLozEwla18012NmM_kMuow,False,https://yt3.ggpht.com/L7FNE3XrRSOk9fGDCLMTTgx9SoGgcq3add2VBpwaLf7z1z0ngoNPVS8_g2uPvqS4yOtwidTG=s176-c-k-c0x00ffffff-no-rj,UgzHeV6vP9sklcDNCFB4AaABAg,False,7,root,Assemblée Moy sa place Mr Mbodje,22 hours ago,1658250000
Aicha Fall,UCIxtUodujZHAyC5cXHRmZlQ,False,https://yt3.ggpht.com/ytc/AKedOLQVzgmANWuKwePWAYSQF_BHtOIVzUcg_rNooQ=s176-c-k-c0x00ffffff-no-rj,UgwNR_CbntfzLX81siB4AaABAg,False,3,root,Non dame beugeu nalla dagua degou t yalla rk takhhhhh,22 hours ago,1658250000
Cheikh Amadou Diouck,UC-p-xp0l2t-bMED78jncBfA,False,https://yt3.ggpht.com/ytc/AKedOLTQjzoIIezlwBG4JQLz34_cxIHiysm0WSFxZA=s176-c-k-c0x00ffffff-no-rj,Ugza4DifOiZl4Vo4Suh4AaABAg,False,4,root,Merci mbodj,22 hours ago,1658250000
ismaila diallo,UCC4gLL07rvhvZHFtGdIEAzA,False,https://yt3.ggpht.com/ytc/AKedOLTGyvMClHnspcp_urWrjVgQgK0KOBPQdo8EXoBb=s176-c-k-c0x00ffffff-no-rj,Ugz-fmf1OojNhkg6JSF4AaABAg,False,26,root,Respect Dame on est fier de vous honnêtement,22 hours ago,1658250000
Ndiame gueye,UCmmD1yy7BoNjxMMn3Jm6E1Q,False,https://yt3.ggpht.com/ytc/AKedOLTAyAAOPfkcYje8B84lHyJw5y3szz9E2XYjXNBJSjvX7ZC2P2uAxFopiIFVveud=s176-c-k-c0x00ffffff-no-rj,UgwyDc84FiTsO2YwJGZ4AaABAg,False,12,root,Machalla dame deugu rék mo moudié vive sonko pour 2024 ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,22 hours ago,1658250000
Youssou Thiam,UCXah-ke3bbxgDo-65SJMFqQ,False,https://yt3.ggpht.com/ytc/AKedOLTyV65Y0jfjewmIaACnU7nyemep_J6oZJPGVQ=s176-c-k-c0x00ffffff-no-rj,UgyM7ITLfPuy75Bhklp4AaABAg,False,1,root,😄😄😄 no Dame srx woul,22 hours ago,1658250000
vérité absolue,UCRZ3fByvPOzxoVkaCUbOOPA,False,https://yt3.ggpht.com/ytc/AKedOLSJg08Kxl6mv9o0c9LSfXR0AO3UyvKAHd5pfH3iTDgvndNU9wwL6XRgFrSqi_Dn=s176-c-k-c0x00ffffff-no-rj,UgweptETwasfrodOu0l4AaABAg,False,5,root,Néna sapoti bu ñoroule,22 hours ago,1658250000
Fatou Souane,UCoUKeYapb3_LW3fauBxarmA,False,https://yt3.ggpht.com/ytc/AKedOLS9F_BUUJ6nmGiHV26_Q8VAjVojRJl1Wxi38A=s176-c-k-c0x00ffffff-no-rj,UgxYurKOnl7jXuwxHJ54AaABAg,False,5,root,Vraiment si on a 2 ou 3 Dame Nbodj Au Senegal macki sall va prendre la fuite,22 hours ago,1658250000
mariame gassama,UC-aN-Ozj1gWGXARu_pmqu3Q,False,https://yt3.ggpht.com/ytc/AKedOLS3gx0XWesiyQmu4nm6xy3A4frt0yGwMpfqCg=s176-c-k-c0x00ffffff-no-rj,UgxYurKOnl7jXuwxHJ54AaABAg.9dfNa25WdWG9dfO2IPSr5G,False,0,UgxYurKOnl7jXuwxHJ54AaABAg,Billay 😄😄😄 fuite nga wakh déé exilé jamais revenir au Sénégal,22 hours ago,1658250000
Coumba Diakhate,UCflPouWFqhIYxpkoZqsGnVw,False,https://yt3.ggpht.com/ytc/AKedOLTqVop2dyRqsukvEK3iQJ_mpLb-ME9rgo18Og=s176-c-k-c0x00ffffff-no-rj,Ugy4GLyMOQQnZnTdPPF4AaABAg,False,3,root,🙏😭😭😭🤲,22 hours ago,1658250000
Bénie de Dieu prunelle,UC3MJ0cD9GHG6EKQ1buwVMQA,False,https://yt3.ggpht.com/ytc/AKedOLTBxOJz3QqDDSPd-rOAgxKC56R2D25507OYoyvn6g=s176-c-k-c0x00ffffff-no-rj,UgzXjJpoWYIvbBfqQ114AaABAg,False,4,root,Merci Mr,22 hours ago,1658250000
seybane fall,UCUqPy9peFvROYCixd4ZnWpA,False,https://yt3.ggpht.com/ytc/AKedOLR1jr7GlSl4hNN399r6eZIvptWUfLe41E1FukTK=s176-c-k-c0x00ffffff-no-rj,UgznLRYnuD_mLjbm2S94AaABAg,False,0,root,"Que l'accueille en son paradis céleste.
Toi Dame depuis que je te suive tu penses toujours que tu as raison.
T'as dit utilisé woul arme loula sii lerrr.
Legui tu compares une arme à un téléphone portable arrêtez vraiment vous ne voyez jamais du bon vers la république",22 hours ago,1658250000
Bilal khaly Fall,UChcypeET3S3rPDWpOaAW2dA,False,https://yt3.ggpht.com/ytc/AKedOLS1pfWD8V-08tn48uj29ORBGz4XYkemqZ72Eg=s176-c-k-c0x00ffffff-no-rj,UgznLRYnuD_mLjbm2S94AaABAg.9dfMYowq5K99dfSzLtVknZ,False,1,UgznLRYnuD_mLjbm2S94AaABAg,Mdr yén vous voyez une vérité mais daguén dih aveugle li gueune boneu moy la personne qui refuse de voir la vérité khamguani ki limou wakh mo gueune lér li procureur bi wakh version police mom sé pire sakh j n'en parle mm po,21 hours ago,1658253600
saliou dione,UCz75uFm2S9DQtsKNGbpZEoQ,False,https://yt3.ggpht.com/ytc/AKedOLTkIygiX_P9F9LNF4-hhbF4lfqWfqB9xY6vOg=s176-c-k-c0x00ffffff-no-rj,UgxEnhFJnX9sg9QBZep4AaABAg,False,48,root,"Dame, tu es formidable.Bien qu'étant Enseignant ta gymnastique juridique reste est avérée. YALLA NA LA YALLA DÉFAL DIAAM.",22 hours ago,1658250000
Balla Tamba,UCadQRkf-yYmtWYWBsHg_4_Q,False,https://yt3.ggpht.com/ytc/AKedOLRBTaxg7bPR5EYnONJg_bDsSZdvwx8tNoLgVPW3oUrwmyaRu2c28z8RkdAAtuw0=s176-c-k-c0x00ffffff-no-rj,UgxEnhFJnX9sg9QBZep4AaABAg.9dfMW2E3lmy9dgD77yefr9,False,0,UgxEnhFJnX9sg9QBZep4AaABAg,Amin yaraabi,14 hours ago,1658278800
Mame Bacs,UC4i1yQ9XvMTg7oZ0rl3xCKA,False,https://yt3.ggpht.com/ytc/AKedOLQozCOwQOLJ_xa3GN948qs6na3uYX1NupxH_A=s176-c-k-c0x00ffffff-no-rj,UgxEnhFJnX9sg9QBZep4AaABAg.9dfMW2E3lmy9dhE0VC5s8Q,False,0,UgxEnhFJnX9sg9QBZep4AaABAg,Mbodj fara thia kaww thia kanammmm,5 hours ago,1658311200
Mbodja Seye,UCK88rjTKNdvqq-iU4T7MTDQ,False,https://yt3.ggpht.com/ytc/AKedOLRrgnuUv5rDJ36hOZkrdImpOocvbqGk8DpTnQ=s176-c-k-c0x00ffffff-no-rj,UgzD2Yzkr1TM17FnC8h4AaABAg,False,7,root,Bilaye Mèttina na trop rèy domou diambour nii tè dara dousi dik,22 hours ago,1658250000
Adama Balde,UCLpqFa3Z229Uyyj8FruZAAQ,False,https://yt3.ggpht.com/ytc/AKedOLSapZC4O_ZJhAHRrXjlVGB7Hz0APsxQdfJK5cEOmw=s176-c-k-c0x00ffffff-no-rj,UgyOZKiiZroQ0xzxAEl4AaABAg,False,3,root,"Bilhahi 🙏 walahi 🙏 dame mbodj
Maki traitre la nest pa la pour le Senegal pour interé France 🇨🇵
Regardes Siri Lanka 🙏",22 hours ago,1658250000
Juge des valeurs,UC2zWEyj0iL5vYBto0mgWeKw,False,https://yt3.ggpht.com/ytc/AKedOLS8CWf3Z4Q7MlUICz8ViNWqytCgcMm-t3ZkkCe1OEAUGCPmxqVJud58ULUlRFjs=s176-c-k-c0x00ffffff-no-rj,UgxSNfYCHDWtmW2-XjV4AaABAg,False,55,root,Merci beaucoup monsieur Dame national vraiment vous êtes très sincère et cohérent franchement amoulo morom machalla,22 hours ago,1658250000
